"АЗС","Партнер","Регион","Мегарегион"
"5054",АЗС НАФТА,Московская область,Центр
"5055","Каройл (""Топ-Нефть"")",Московская область,Центр
"5056",Прайт-Люкс-Т,Московская область,Центр
"52009",Новатор-2000,Московская область,Центр
"5201",ИП Абакумова,Нижегородская область,Центр
"5202",Оптима Нефть,Нижегородская область,Центр
"5203",Альянс Ойл,Нижегородская область,Центр
"5204",Новатор-2000,Нижегородская область,Центр
"5205",ИП Абакумова,Нижегородская область,Центр
"5206","Лидвен (""Опти Ойл"")",Нижегородская область,Центр
"5207",ИП Казакова(Лосева),Нижегородская область,Центр
"5208",ИП Чесноков,Нижегородская область,Центр
"5210",ИП Круглова,Нижегородская область,Центр
"5211",Обеспечение,Нижегородская область,Центр
"5212",Уреньнефтепродукт,Нижегородская область,Центр
"5213",Новатор-2000,Нижегородская область,Центр
"5214",Новатор-2000,Нижегородская область,Центр
"5215",Новатор-2000,Нижегородская область,Центр
"5216",Новатор-2000,Нижегородская область,Центр
"5217",Новатор-2000,Нижегородская область,Центр
"5218",Новатор-2000,Нижегородская область,Центр
"5219",Новатор-2000,Нижегородская область,Центр
"5220",Новатор-2000,Нижегородская область,Центр
"5221",БРЕНТСТОР,Нижегородская область,Центр
"5222",Арко-Газ,Нижегородская область,Центр
"5401",ЧУЛПАН,Новосибирская область,Сибирь
"5402",ЧУЛПАН,Новосибирская область,Сибирь
"5403",ЧУЛПАН,Новосибирская область,Сибирь
"5404",ЧУЛПАН,Новосибирская область,Сибирь
"5405",ЧУЛПАН,Новосибирская область,Сибирь
"5406",ЧУЛПАН,Новосибирская область,Сибирь
"5407",ЧУЛПАН,Новосибирская область,Сибирь
"5408",СТК Сибирь,Новосибирская область,Сибирь
"5409",Магистраль,Новосибирская область,Сибирь
"5410",АЗС НА СТРИЖАХ,Новосибирская область,Сибирь
"5411",ИП Шашлюк,Новосибирская область,Сибирь
"5412",ИП Шашлюк,Новосибирская область,Сибирь
"5413",ИП Шашлюк,Новосибирская область,Сибирь
"5414",ИП Шашлюк,Новосибирская область,Сибирь
"5415",ИП Шашлюк,Новосибирская область,Сибирь
"5416",ИП Шашлюк,Новосибирская область,Сибирь
"5417",ИП Шашлюк,Новосибирская область,Сибирь
"5418",ИП Шашлюк,Новосибирская область,Сибирь
"5419",ИП Шашлюк,Новосибирская область,Сибирь
"5420",ИП Шашлюк,Новосибирская область,Сибирь
"5421",ЧУЛПАН,Новосибирская область,Сибирь
"5422",ЕВРОойл Надежда (Новосибирск),Новосибирская область,Сибирь
"5423",ЕВРОойл Надежда (Новосибирск),Новосибирская область,Сибирь
"5424",ЕВРОойл Надежда (Новосибирск),Новосибирская область,Сибирь
"5425",ЕВРОойл Надежда (Новосибирск),Новосибирская область,Сибирь
"5426",Актин-Н,Новосибирская область,Сибирь
"5427","ООО фирма ""СибКо""",Новосибирская область,Сибирь
"5428",БИГ,Новосибирская область,Сибирь
"5429",СибРесурс,Новосибирская область,Сибирь
"5430",ИП Шашлюк,Новосибирская область,Сибирь
"5431",СибТранс Групп,Новосибирская область,Сибирь
"5432",СибТранс Групп,Новосибирская область,Сибирь
"5433",РУБИН,Новосибирская область,Сибирь
"5434",Актин-Н,Новосибирская область,Сибирь
"5435",СибРесурс,Новосибирская область,Сибирь
"5436",ЧУЛПАН,Новосибирская область,Сибирь
"5437",АЗС-Люкс,Новосибирская область,Сибирь
"5501",Авис,Омская область,Сибирь
"5701",ИП Лёвочкин,Орловская область,Центр
"5901",ФПС,Пермский край,Урал
"5902",ФПС,Пермский край,Урал
"5903",ФПС,Пермский край,Урал
"5904",ФПС,Пермский край,Урал
"5905",ПетроОйл,Пермский край,Урал
"6001",Люта,Псковская область,Центр
"6101",Аякс,Ростовская область,
"6102",Аякс,Ростовская область,
"6103",Аякс,Ростовская область,
"6201",Торта,Рязанская область,Центр
"6202",Клир,Рязанская область,Центр
"6203",ИП Перышкин,Рязанская область,Центр
"6204",ИП Бородин,Рязанская область,Центр
"6206","КПД (""АвтОйл"")",Рязанская область,Центр
"6207","КПД (""АвтОйл"")",Рязанская область,Центр
"6601",ГрандОйл,Свердловская область,Урал
"6602",Картель,Свердловская область,Урал
"6603",ТРАНСКОМ СЕВЕР,Свердловская область,Урал
"6604",Автотехстрой,Свердловская область,Урал
"6605",Автотехстрой,Свердловская область,Урал
"6606",Техас-Гермес,Свердловская область,Урал
"6607",Техас-Гермес,Свердловская область,Урал
"6608",Техас-Гермес,Свердловская область,Урал
"6609",Картель,Свердловская область,Урал
"6610",Картель,Свердловская область,Урал
"6611",Регион (Екатеринбург),Свердловская область,Урал
"6612",Картель,Свердловская область,Урал
"6613",Картель,Свердловская область,Урал
"6614",ТК ГСМ-Маркет,Свердловская область,Урал
"6701",Уралочка,Смоленская область,Центр
"6702",Петрол Компани,Смоленская область,Центр
"6703",Петрол Компани,Смоленская область,Центр
"6704",Петрол Компани,Смоленская область,Центр
"6705",М10 Ойл,Смоленская область,Центр
"6706",М10 Ойл,Смоленская область,Центр
"6707",М10 Ойл,Смоленская область,Центр
"6708",Уралочка,Смоленская область,Центр
"6709",КОМ-ОЙЛ,Смоленская область,Центр
"6710",Новолайн,Смоленская область,Центр
"6711",Евро Транзит,Смоленская область,Центр
"6712",Евро Транзит,Смоленская область,Центр
"6713",Евро Транзит,Смоленская область,Центр
"6901",РТК+,Тверская область,Центр
"6902",Оптим-Тверь,Тверская область,Центр
"6903",Оптим-Тверь,Тверская область,Центр
"6904",Оптим-Тверь,Тверская область,Центр
"6905",М10 Ойл,Тверская область,Центр
"6906",М10 Ойл,Тверская область,Центр
"6907",ООО Торжокнефтепродукт Плюс,Тверская область,Центр
"6908",М10 Ойл,Тверская область,Центр
"6909",М10 Ойл,Тверская область,Центр
"6910",М10 Ойл,Тверская область,Центр
"6911",Транс-Групп,Тверская область,Центр
"6912",М10 Ойл,Тверская область,Центр
"6913",М10 Ойл,Тверская область,Центр
"6914",М10 Ойл,Тверская область,Центр
"6915","ТК ""Тверьгазсервис",Тверская область,Центр
"6916",Про Бизнес,Тверская область,Центр
"6918",Про Бизнес,Тверская область,Центр
"6919",Про Бизнес,Тверская область,Центр
"6920","ТК ""Тверьгазсервис",Тверская область,Центр
"6921",Евро-инвест,Тверская область,Центр
"7001",СтандартОйл,Томская область,
"7101","НТК ""Высокое""",Тульская область,Центр
"7102","НТК ""Высокое""",Тульская область,Центр
"7103","ИП Умудумов (""Транзит-Нефть"")",Тульская область,Центр
"7104","ИП Умудумов (""Транзит-Нефть"")",Тульская область,Центр
"7105",Автомир-1,Тульская область,Центр
"7106",ИП Верботный,Тульская область,Центр
"7107",ИП Верботный,Тульская область,Центр
"7108",Автоузел,Тульская область,Центр
"7109",СИБИНТЭК,Тульская область,Центр
"7110","ИП Умудумов (""Транзит-Нефть"")",Тульская область,Центр
"7111","НТК ""Высокое""",Тульская область,Центр
"7112",НОВОГАЗ,Тульская область,Центр
"7201",Тюмень-Опти,Тюменская область,
"7202",Кондор,Тюменская область,
"7203",Кондор,Тюменская область,
"7204",ЛОТНЕФТЬ,Тюменская область,
"7205",Кондор,Тюменская область,
"7206",Кондор,Тюменская область,
"7207",Кондор,Тюменская область,
"7208",Кондор,Тюменская область,
"7209",Кондор,Тюменская область,
"7210",Кондор,Тюменская область,
"7211",Кондор,Тюменская область,
"7212",Кондор,Тюменская область,
"7213",Кондор,Тюменская область,
"7401",Регион,Челябинская область,Урал
"7402",Регион,Челябинская область,Урал
"7403",ГарантОйл,Челябинская область,Урал
"7404",УралТрансГаз,Челябинская область,Урал
"7406",М5,Челябинская область,Урал
"7407",Анкер,Челябинская область,Урал
"7408",ГарантОйл,Челябинская область,Урал
